%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672901615945760,0.0,0.0,0.0,0.0,0.0,0.0
1473672901632598353,0.0,0.0,0.0,0.0,0.0,0.0
1473672901649334464,0.0,0.0,0.0,0.0,0.0,0.0
1473672901665957570,0.0,0.0,0.0,0.0,0.0,0.0
1473672901682622538,0.0,0.0,0.0,0.0,0.0,0.0
1473672901699290251,0.0,0.0,0.0,0.0,0.0,0.0
1473672901715937722,0.0,0.0,0.0,0.0,0.0,0.0
1473672901732557162,0.0,0.0,0.0,0.0,0.0,0.0
1473672901749279274,0.0,0.0,0.0,0.0,0.0,0.0
1473672901765973979,0.0,0.0,0.0,0.0,0.0,0.0
1473672901782606993,0.0,0.0,0.0,0.0,0.0,0.0
1473672901799265685,0.0,0.0,0.0,0.0,0.0,0.0
1473672901815940013,0.0,0.0,0.0,0.0,0.0,0.0
1473672901832639002,0.0,0.0,0.0,0.0,0.0,0.0
1473672901849205137,0.0,0.0,0.0,0.0,0.0,0.0
1473672901865959966,0.0,0.0,0.0,0.0,0.0,0.0
1473672901882569025,0.0,0.0,0.0,0.0,0.0,0.0
1473672901899280247,0.0,0.0,0.0,0.0,0.0,0.0
1473672901915957295,0.0,0.0,0.0,0.0,0.0,0.0
1473672901932544945,0.0,0.0,0.0,0.0,0.0,0.0
1473672901949243689,0.0,0.0,0.0,0.0,0.0,0.0
1473672901965932831,0.0,0.0,0.0,0.0,0.0,0.0
1473672901982662993,0.0,0.0,0.0,0.0,0.0,0.0
1473672901999234167,0.0,0.0,0.0,0.0,0.0,0.0
1473672902015923196,0.0,0.0,0.0,0.0,0.0,0.0
1473672902032574513,0.0,0.0,0.0,0.0,0.0,0.0
1473672902049304222,0.0,0.0,0.0,0.0,0.0,0.0
1473672902066008332,0.0,0.0,0.0,0.0,0.0,0.0
1473672902082568507,0.0,0.0,0.0,0.0,0.0,0.0
1473672902099271680,0.0,0.0,0.0,0.0,0.0,0.0
1473672902115895000,0.0,0.0,0.0,0.0,0.0,0.0
1473672902132573605,0.0,0.0,0.0,0.0,0.0,0.0
1473672902149237767,0.0,0.0,0.0,0.0,0.0,0.0
1473672902165889554,0.0,0.0,0.0,0.0,0.0,0.0
1473672902182608488,0.0,0.0,0.0,0.0,0.0,0.0
1473672902199238902,0.0,0.0,0.0,0.0,0.0,0.0
1473672902215913710,0.0,0.0,0.0,0.0,0.0,0.0
1473672902232552712,0.0,0.0,0.0,0.0,0.0,0.0
1473672902249224824,0.0,0.0,0.0,0.0,0.0,0.0
1473672902265918274,0.0,0.0,0.0,0.0,0.0,0.0
1473672902282603290,0.0,0.0,0.0,0.0,0.0,0.0
1473672902299267695,0.0,0.0,0.0,0.0,0.0,0.0
